DEPÓSITO,69
ADMINISTRACIÓN,5
COMERCIAL,1
"CASA CENTRAL",66
PROCESOS,163
LIMPIEZA,70
TRÁFICO,152
COMPRAS,39
MARKETING,158
PROYECTO,164
STOCK,7
GERENCIA,35
SISTEMAS,46
RRHH,37
MANTENIMIENTO,155
ABASTECIMIENTO,153
AUDITORÍA,96
DIRECTORIO,44
